Latitud;Longitud
8.9784;-83.0378
8.9786;-83.0833
9.0236;-83.0377
8.9786;-83.0833
9.0246;-83.3104
8.9794;-83.3106
8.9343;-83.3562
9.0247;-83.3559
8.9792;-83.2651
8.9792;-83.2651
9.0698;-83.3103
9.0699;-83.3558
8.9794;-83.3106
9.0246;-83.3104
8.9794;-83.3106
9.0247;-83.3559
9.0246;-83.3104
9.0698;-83.3103
9.0247;-83.3559
9.2507;-83.3552
9.2055;-83.3553
9.2057;-83.4008
9.2959;-83.355
9.1605;-83.401
9.2509;-83.4007
9.2057;-83.4008
9.1605;-83.401
9.2057;-83.4008
9.1605;-83.401
9.1605;-83.401
9.2509;-83.4007
9.2057;-83.4008
9.1148;-83.2647
9.16;-83.2645
9.0695;-83.2193
9.0693;-83.1739
9.1148;-83.2647
9.1603;-83.3555
9.1151;-83.3556
9.0696;-83.2648
9.1603;-83.3555
9.1148;-83.2647
9.0241;-83.174
9.115;-83.3101
9.115;-83.3101
9.1603;-83.3555
9.0696;-83.2648
9.2504;-83.2642
9.1151;-83.3556
9.1603;-83.3555
9.1148;-83.2647
9.1602;-83.31
9.16;-83.2645
9.2054;-83.3098
9.2054;-83.3098
9.2054;-83.3098
9.2506;-83.3097
9.16;-83.2645
8.9791;-83.2197
8.934;-83.2653
8.9339;-83.2198
8.8887;-83.22
8.9339;-83.2198
8.9339;-83.2198
8.9339;-83.2198
8.9791;-83.2197
8.8432;-83.1293
8.9339;-83.2198
8.8885;-83.1745
8.9337;-83.1744
8.8884;-83.1291
8.8887;-83.22
8.8887;-83.22
8.9792;-83.2651
8.9792;-83.2651
8.9339;-83.2198
9.0251;-83.4923
9.0249;-83.4014
8.9797;-83.4015
9.0249;-83.4014
9.025;-83.4468
8.9798;-83.4469
9.0702;-83.4467
9.0251;-83.4923
9.0703;-83.4922
9.0703;-83.4922
9.025;-83.4468
9.025;-83.4468
9.0704;-83.5376
9.0249;-83.4014
9.0251;-83.4923
9.0703;-83.4922
9.0249;-83.4014
9.0249;-83.4014
9.0249;-83.4014
9.025;-83.4468
9.0702;-83.4467
9.0702;-83.4467
9.0699;-83.3558
9.0699;-83.3558
9.0699;-83.3558
9.1153;-83.4011
9.1153;-83.4011
9.0703;-83.4922
9.0701;-83.4012
9.1154;-83.4466
9.0702;-83.4467
9.1154;-83.4466
9.1154;-83.4466
9.0701;-83.4012
9.0699;-83.3558
9.0702;-83.4467
9.1154;-83.4466
9.1153;-83.4011
9.0702;-83.4467
9.0701;-83.4012
8.9791;-83.2197
9.0241;-83.174
8.9788;-83.1288
9.1599;-83.219
9.0239;-83.1286
8.9789;-83.1742
9.0241;-83.174
8.9789;-83.1742
9.0693;-83.1739
9.0239;-83.1286
8.9334;-83.0835
9.0244;-83.265
8.8882;-83.0837
8.9334;-83.0835
9.069;-83.0829
8.9334;-83.0835
9.0239;-83.1286
8.9789;-83.1742
8.9334;-83.0835
8.9336;-83.1289
9.1143;-83.1282
9.0243;-83.2195
9.1145;-83.1737
8.9334;-83.0835
8.9788;-83.1288
9.0241;-83.174
8.9788;-83.1288
9.0246;-83.3104
8.9334;-83.0835
8.8882;-83.0837
8.9788;-83.1288
9.0696;-83.2648
9.0244;-83.265
8.9789;-83.1742
9.2962;-83.4461
9.2057;-83.4008
9.2509;-83.4007
9.1606;-83.4464
9.2059;-83.4918
9.2511;-83.4917
9.251;-83.4462
9.2058;-83.4463
9.2058;-83.4463
9.1606;-83.4464
9.2059;-83.4918
9.251;-83.4462
9.2963;-83.4916
9.2058;-83.4463
8.6158;-82.8123
8.5259;-82.9035
8.6161;-82.8577
8.5257;-82.8582
8.5257;-82.8582
8.5707;-82.8125
8.6161;-82.8577
8.5713;-82.9487
8.5711;-82.9033
8.5261;-82.9489
8.5709;-82.8579
8.5259;-82.9035
8.5259;-82.9035
8.5709;-82.8579
8.5257;-82.8582
8.5711;-82.9033
8.5259;-82.9035
8.5259;-82.9035
8.5707;-82.8125
8.6161;-82.8577
8.5709;-82.8579
8.5707;-82.8125
8.5709;-82.8579
8.5713;-82.9487
8.6161;-82.8577
8.6163;-82.9031
8.707;-82.9936
8.6612;-82.8575
8.6615;-82.9029
8.5711;-82.9033
8.6615;-82.9029
8.5263;-82.9943
8.7068;-82.9481
8.5713;-82.9487
8.6617;-82.9483
8.6619;-82.9937
8.5715;-82.9941
8.6163;-82.9031
8.5715;-82.9941
8.6617;-82.9483
8.6165;-82.9485
8.5713;-82.9487
8.5713;-82.9487
8.6165;-82.9485
8.6165;-82.9485
8.6165;-82.9485
8.6165;-82.9485
8.6167;-82.9939
8.6165;-82.9485
8.6617;-82.9483
8.5713;-82.9487
8.6165;-82.9485
8.7066;-82.9027
8.6617;-82.9483
8.6167;-82.9939
8.6161;-82.8577
8.6612;-82.8575
8.6617;-82.9483
8.707;-82.9936
8.5717;-83.0395
8.7064;-82.8573
8.5265;-83.0397
8.6617;-82.9483
8.6167;-82.9939
8.6161;-82.8577
8.6615;-82.9029
8.6163;-82.9031
8.6617;-82.9483
8.5715;-82.9941
8.6163;-82.9031
8.5715;-82.9941
8.6163;-82.9031
8.6617;-82.9483
8.6163;-82.9031
8.5257;-82.8582
8.4805;-82.8584
8.4353;-82.8586
8.4805;-82.8584
8.4805;-82.8584
8.4359;-82.9947
8.5263;-82.9943
8.4811;-82.9945
8.3907;-82.9949
8.4357;-82.9493
8.4809;-82.9491
8.4811;-82.9945
8.5261;-82.9489
8.4355;-82.904
8.4807;-82.9038
8.5263;-82.9943
8.5261;-82.9489
8.4809;-82.9491
8.4809;-82.9491
8.3909;-83.0403
8.4355;-82.904
8.3907;-82.9949
8.4355;-82.904
8.4357;-82.9493
8.4809;-82.9491
8.4811;-82.9945
8.4357;-82.9493
8.4809;-82.9491
8.3905;-82.9495
8.752;-82.9479
8.7068;-82.9481
8.7068;-82.9481
8.7518;-82.9025
8.752;-82.9479
8.7972;-82.9477
8.707;-82.9936
8.752;-82.9479
8.7518;-82.9025
8.752;-82.9479
8.752;-82.9479
8.752;-82.9479
8.752;-82.9479
8.752;-82.9479
8.7522;-82.9934
8.752;-82.9479
8.8428;-83.0384
8.8426;-82.993
8.888;-83.0382
8.9332;-83.038
8.8428;-83.0384
8.843;-83.0838
8.8882;-83.0837
8.8882;-83.0837
8.843;-83.0838
8.8426;-82.993
8.8426;-82.993
8.8882;-83.0837
8.843;-83.0838
8.8428;-83.0384
8.888;-83.0382
8.8426;-82.993
8.8882;-83.0837
8.8426;-82.993
8.8428;-83.0384
8.888;-83.0382
8.8428;-83.0384
8.978;-82.9469
8.933;-82.9926
8.9334;-83.0835
8.9328;-82.9471
8.9328;-82.9471
8.9326;-82.9017
8.9328;-82.9471
8.9332;-83.038
8.9332;-83.038
8.9326;-82.9017
8.9328;-82.9471
8.933;-82.9926
8.9324;-82.8562
8.7972;-82.9477
8.797;-82.9023
8.887;-82.811
8.8872;-82.8565
8.8872;-82.8565
8.8872;-82.8565
8.8872;-82.8565
8.8424;-82.9475
8.887;-82.811
8.8868;-82.7656
8.8422;-82.9021
8.8868;-82.7656
8.887;-82.811
8.8422;-82.9021
8.8872;-82.8565
8.8422;-82.9021
8.8422;-82.9021
8.797;-82.9023
8.797;-82.9023
8.887;-82.811
8.842;-82.8567
8.797;-82.9023
8.8422;-82.9021
8.797;-82.9023
8.8422;-82.9021
8.797;-82.9023
8.7972;-82.9477
8.887;-82.811
8.797;-82.9023
8.8422;-82.9021
8.8422;-82.9021
8.8424;-82.9475
8.8426;-82.993
8.8878;-82.9928
8.8424;-82.9475
8.8876;-82.9473
8.8426;-82.993
8.8876;-82.9473
8.7972;-82.9477
8.8426;-82.993
8.8876;-82.9473
8.8878;-82.9928
8.8424;-82.9475
8.8874;-82.9019
8.7972;-82.9477
8.8424;-82.9475
8.8878;-82.9928
8.8878;-82.9928
8.8874;-82.9019
8.8874;-82.9019
8.8874;-82.9019
8.8424;-82.9475
8.8426;-82.993
8.7974;-82.9932
8.8874;-82.9019
8.7974;-82.9932
8.7082;-83.3115
8.5722;-83.1757
8.572;-83.1303
